time,kernel,dtype,impl,N,stride,misalign,time_ms,gflops,cpe
9/29/2025 23:02,saxpy,f32,simd,1000000,1,0,0.2015,9.925558,0.5239
9/29/2025 23:02,saxpy,f64,scalar,1000000,1,0,0.7347,2.7222,1.91022
9/29/2025 23:02,saxpy,f32,simd,1000728,1,0,0.3253,6.152647,0.845165
9/29/2025 23:02,saxpy,f64,scalar,1000728,1,0,0.7284,2.747743,1.892462
9/29/2025 23:02,saxpy,f32,simd,1000000,1,4,0.227,8.810573,0.5902
9/29/2025 23:02,saxpy,f64,scalar,1000000,1,4,0.7534,2.654632,1.95884
9/29/2025 23:02,saxpy,f32,simd,1000728,1,4,0.2405,8.322062,0.624845
9/29/2025 23:02,saxpy,f64,scalar,1000728,1,4,0.717,2.791431,1.862844
