time,kernel,dtype,impl,N,stride,misalign,time_ms,gflops,cpe
9/29/2025 23:02,dot,f64,simd,80000,1,0,0.073,2.191781,2.3725
9/29/2025 23:02,dot,f32,scalar,300000,1,0,0.2674,2.243829,2.317467
9/29/2025 23:02,dot,f32,simd,300000,1,0,0.2742,2.188184,2.3764
9/29/2025 23:02,dot,f64,scalar,300000,1,0,0.281,2.135231,2.435333
9/29/2025 23:02,dot,f64,simd,300000,1,0,0.28,2.142857,2.426667
9/29/2025 23:02,dot,f32,scalar,1200000,1,0,1.225,1.959184,2.654167
9/29/2025 23:02,dot,f32,simd,1200000,1,0,1.1531,2.081346,2.498383
9/29/2025 23:02,dot,f64,scalar,1200000,1,0,1.3968,1.718213,3.0264
9/29/2025 23:02,dot,f64,simd,1200000,1,0,1.2875,1.864078,2.789583
9/29/2025 23:02,dot,f32,scalar,5000000,1,0,5.066,1.973944,2.63432
9/29/2025 23:02,dot,f32,simd,5000000,1,0,4.8608,2.057275,2.527616
9/29/2025 23:02,dot,f64,scalar,5000000,1,0,5.8011,1.723811,3.016572
9/29/2025 23:02,dot,f64,simd,5000000,1,0,5.4478,1.835603,2.832856
9/29/2025 23:02,dot,f32,scalar,20000000,1,0,21.8343,1.83198,2.838459
9/29/2025 23:02,dot,f32,simd,20000000,1,0,19.412599,2.060518,2.523638
9/29/2025 23:02,dot,f64,scalar,20000000,1,0,22.781776,1.755789,2.961631
9/29/2025 23:02,dot,f64,simd,20000000,1,0,20.918778,1.912158,2.719441
9/29/2025 23:02,dot,f32,scalar,70000000,1,0,71.124125,1.96839,2.641753
9/29/2025 23:02,dot,f32,simd,70000000,1,0,69.224727,2.022399,2.571204
9/29/2025 23:02,dot,f64,scalar,70000000,1,0,79.418515,1.762813,2.949831
9/29/2025 23:02,dot,f64,simd,70000000,1,0,74.46442,1.880093,2.765821
