Filter,N,FPR_Target,Workload,NegShare,LoadFactor,Threads,FPBits,Insert_s,Query_s,FalsePosRate,BPE
cuckoo,1000000,0.05,read-only,0.9,1,1,8,0.0309024,0.025522,0.017365,16
cuckoo,1000000,0.05,read-only,0.9,1,1,12,0.0328066,0.0256931,0.017366,16
cuckoo,1000000,0.05,read-only,0.9,1,1,16,0.0320042,0.0253789,0.017355,16
cuckoo,1000000,0.05,read-only,0.9,1,2,8,0.0334479,0.0250791,0.017359,16
cuckoo,1000000,0.05,read-only,0.9,1,2,12,0.0332007,0.0259384,0.017369,16
cuckoo,1000000,0.05,read-only,0.9,1,2,16,0.031537,0.0255706,0.01736,16
cuckoo,1000000,0.05,read-only,0.9,1,4,8,0.0310017,0.0253362,0.017361,16
cuckoo,1000000,0.05,read-only,0.9,1,4,12,0.0313122,0.0250747,0.017365,16
cuckoo,1000000,0.05,read-only,0.9,1,4,16,0.0329143,0.0260015,0.017362,16
cuckoo,1000000,0.05,read-only,0.9,1,8,8,0.0312937,0.0265702,0.017362,16
cuckoo,1000000,0.05,read-only,0.9,1,8,12,0.0312354,0.0252142,0.017369,16
cuckoo,1000000,0.05,read-only,0.9,1,8,16,0.0309999,0.0250037,0.017365,16
cuckoo,1000000,0.05,read-mostly,0,1,1,8,0.0321548,0.0346594,0,16
cuckoo,1000000,0.05,read-mostly,0,1,1,12,0.0348571,0.0359816,0,16
cuckoo,1000000,0.05,read-mostly,0,1,1,16,0.0343672,0.0348373,0,16
cuckoo,1000000,0.05,read-mostly,0,1,2,8,0.0312838,0.0330159,0,16
cuckoo,1000000,0.05,read-mostly,0,1,2,12,0.0316036,0.0328218,0,16
cuckoo,1000000,0.05,read-mostly,0,1,2,16,0.0343472,0.032584,0,16
cuckoo,1000000,0.05,read-mostly,0,1,4,8,0.0315354,0.0326212,0,16
cuckoo,1000000,0.05,read-mostly,0,1,4,12,0.0336675,0.0334944,0,16
cuckoo,1000000,0.05,read-mostly,0,1,4,16,0.0311286,0.0324224,0,16
cuckoo,1000000,0.05,read-mostly,0,1,8,8,0.0311476,0.0328162,0,16
cuckoo,1000000,0.05,read-mostly,0,1,8,12,0.0316316,0.03202,0,16
cuckoo,1000000,0.05,read-mostly,0,1,8,16,0.0308267,0.0320382,0,16
cuckoo,1000000,0.05,read-mostly,0.5,1,1,8,0.032919,0.0305406,0.00961263,16
cuckoo,1000000,0.05,read-mostly,0.5,1,1,12,0.0321367,0.0304244,0.00961684,16
cuckoo,1000000,0.05,read-mostly,0.5,1,1,16,0.0320816,0.0316571,0.00960737,16
cuckoo,1000000,0.05,read-mostly,0.5,1,2,8,0.0329796,0.0313649,0.00961789,16
cuckoo,1000000,0.05,read-mostly,0.5,1,2,12,0.034613,0.0306908,0.00961158,16
cuckoo,1000000,0.05,read-mostly,0.5,1,2,16,0.0317883,0.0307499,0.00960842,16
cuckoo,1000000,0.05,read-mostly,0.5,1,4,8,0.0315424,0.0307258,0.00961474,16
cuckoo,1000000,0.05,read-mostly,0.5,1,4,12,0.0311395,0.0298876,0.00961158,16
cuckoo,1000000,0.05,read-mostly,0.5,1,4,16,0.0312852,0.0301773,0.00961053,16
cuckoo,1000000,0.05,read-mostly,0.5,1,8,8,0.0312161,0.0297628,0.00961368,16
cuckoo,1000000,0.05,read-mostly,0.5,1,8,12,0.0308802,0.0301155,0.00961158,16
cuckoo,1000000,0.05,read-mostly,0.5,1,8,16,0.0323649,0.0303963,0.00961368,16
cuckoo,1000000,0.05,read-mostly,0.9,1,1,8,0.0312197,0.0266915,0.0172853,16
cuckoo,1000000,0.05,read-mostly,0.9,1,1,12,0.0314296,0.0274916,0.0172884,16
cuckoo,1000000,0.05,read-mostly,0.9,1,1,16,0.0312404,0.0281711,0.0172905,16
cuckoo,1000000,0.05,read-mostly,0.9,1,2,8,0.0319298,0.0270276,0.0172853,16
cuckoo,1000000,0.05,read-mostly,0.9,1,2,12,0.0310311,0.0266094,0.0172895,16
cuckoo,1000000,0.05,read-mostly,0.9,1,2,16,0.0314219,0.0276316,0.0173,16
cuckoo,1000000,0.05,read-mostly,0.9,1,4,8,0.0311519,0.0277448,0.0172821,16
cuckoo,1000000,0.05,read-mostly,0.9,1,4,12,0.0316667,0.0271022,0.0172926,16
cuckoo,1000000,0.05,read-mostly,0.9,1,4,16,0.0309642,0.0299544,0.0172895,16
cuckoo,1000000,0.05,read-mostly,0.9,1,8,8,0.0317261,0.0271732,0.0172916,16
cuckoo,1000000,0.05,read-mostly,0.9,1,8,12,0.0311672,0.0271662,0.0172937,16
cuckoo,1000000,0.05,read-mostly,0.9,1,8,16,0.0321417,0.0273766,0.0172905,16
cuckoo,1000000,0.05,balanced,0,1,1,8,0.0320163,0.0457654,0,16
cuckoo,1000000,0.05,balanced,0,1,1,12,0.0329273,0.0458498,0,16
cuckoo,1000000,0.05,balanced,0,1,1,16,0.0315881,0.0459826,0,16
cuckoo,1000000,0.05,balanced,0,1,2,8,0.0320418,0.046345,0,16
cuckoo,1000000,0.05,balanced,0,1,2,12,0.0318343,0.0450231,0,16
cuckoo,1000000,0.05,balanced,0,1,2,16,0.0308499,0.0447579,0,16
cuckoo,1000000,0.05,balanced,0,1,4,8,0.0325092,0.0471293,0,16
cuckoo,1000000,0.05,balanced,0,1,4,12,0.0319276,0.045888,0,16
cuckoo,1000000,0.05,balanced,0,1,4,16,0.0310224,0.0444793,0,16
cuckoo,1000000,0.05,balanced,0,1,8,8,0.0308535,0.0459805,0,16
cuckoo,1000000,0.05,balanced,0,1,8,12,0.0308286,0.0490846,0,16
cuckoo,1000000,0.05,balanced,0,1,8,16,0.0324649,0.0460837,0,16
cuckoo,1000000,0.05,balanced,0.5,1,1,8,0.0318611,0.0442226,0.009394,16
cuckoo,1000000,0.05,balanced,0.5,1,1,12,0.032805,0.0443386,0.009404,16
cuckoo,1000000,0.05,balanced,0.5,1,1,16,0.0323964,0.0459077,0.009404,16
cuckoo,1000000,0.05,balanced,0.5,1,2,8,0.0325193,0.0446859,0.0094,16
cuckoo,1000000,0.05,balanced,0.5,1,2,12,0.0333448,0.0438754,0.009368,16
cuckoo,1000000,0.05,balanced,0.5,1,2,16,0.0310513,0.0445259,0.009376,16
cuckoo,1000000,0.05,balanced,0.5,1,4,8,0.0314101,0.0445347,0.00941,16
cuckoo,1000000,0.05,balanced,0.5,1,4,12,0.0307469,0.0449501,0.009402,16
cuckoo,1000000,0.05,balanced,0.5,1,4,16,0.0340566,0.0459125,0.009406,16
cuckoo,1000000,0.05,balanced,0.5,1,8,8,0.0309901,0.0444743,0.009406,16
cuckoo,1000000,0.05,balanced,0.5,1,8,12,0.0311589,0.0449271,0.00939,16
cuckoo,1000000,0.05,balanced,0.5,1,8,16,0.0315754,0.0464358,0.009406,16
cuckoo,1000000,0.05,balanced,0.9,1,1,8,0.0317099,0.0419201,0.017012,16
cuckoo,1000000,0.05,balanced,0.9,1,1,12,0.0313549,0.0419919,0.01699,16
cuckoo,1000000,0.05,balanced,0.9,1,1,16,0.0332166,0.0451801,0.017028,16
cuckoo,1000000,0.05,balanced,0.9,1,2,8,0.0341425,0.0432582,0.016998,16
cuckoo,1000000,0.05,balanced,0.9,1,2,12,0.0313681,0.0420979,0.016988,16
cuckoo,1000000,0.05,balanced,0.9,1,2,16,0.0313395,0.0428581,0.016996,16
cuckoo,1000000,0.05,balanced,0.9,1,4,8,0.0315743,0.0422598,0.017006,16
cuckoo,1000000,0.05,balanced,0.9,1,4,12,0.0308375,0.0420108,0.01699,16
cuckoo,1000000,0.05,balanced,0.9,1,4,16,0.0308957,0.0419127,0.016974,16
cuckoo,1000000,0.05,balanced,0.9,1,8,8,0.0343609,0.0476104,0.017016,16
cuckoo,1000000,0.05,balanced,0.9,1,8,12,0.0329383,0.0460218,0.017006,16
cuckoo,1000000,0.05,balanced,0.9,1,8,16,0.0327054,0.0425248,0.016988,16
bloom,1000000,0.01,read-only,0,1,1,8,0.0477591,0.0489235,0,9.56717
bloom,1000000,0.01,read-only,0,1,1,12,0.0483669,0.0479628,0,9.56717
bloom,1000000,0.01,read-only,0,1,1,16,0.0481826,0.0501375,0,9.56717
bloom,1000000,0.01,read-only,0,1,2,8,0.0526409,0.0512415,0,9.56717
bloom,1000000,0.01,read-only,0,1,2,12,0.0488777,0.0485071,0,9.56717
bloom,1000000,0.01,read-only,0,1,2,16,0.0482611,0.0480828,0,9.56717
bloom,1000000,0.01,read-only,0,1,4,8,0.0475484,0.0510033,0,9.56717
bloom,1000000,0.01,read-only,0,1,4,12,0.053626,0.0515193,0,9.56717
bloom,1000000,0.01,read-only,0,1,4,16,0.0485572,0.0486034,0,9.56717
bloom,1000000,0.01,read-only,0,1,8,8,0.0488318,0.047644,0,9.56717
bloom,1000000,0.01,read-only,0,1,8,12,0.0478582,0.0508978,0,9.56717
bloom,1000000,0.01,read-only,0,1,8,16,0.0504679,0.0511631,0,9.56717
bloom,1000000,0.01,read-only,0.5,1,1,8,0.0493038,0.0437897,0.005103,9.56717
bloom,1000000,0.01,read-only,0.5,1,1,12,0.0477962,0.0435237,0.005103,9.56717
bloom,1000000,0.01,read-only,0.5,1,1,16,0.0486889,0.0439554,0.005103,9.56717
bloom,1000000,0.01,read-only,0.5,1,2,8,0.0497585,0.0434049,0.005103,9.56717
bloom,1000000,0.01,read-only,0.5,1,2,12,0.0482825,0.0426975,0.005103,9.56717
bloom,1000000,0.01,read-only,0.5,1,2,16,0.0492779,0.0442993,0.005103,9.56717
bloom,1000000,0.01,read-only,0.5,1,4,8,0.0537377,0.0468414,0.005103,9.56717
bloom,1000000,0.01,read-only,0.5,1,4,12,0.0523631,0.0443966,0.005103,9.56717
bloom,1000000,0.01,read-only,0.5,1,4,16,0.0482134,0.0430812,0.005103,9.56717
bloom,1000000,0.01,read-only,0.5,1,8,8,0.0491211,0.0558561,0.005103,9.56717
bloom,1000000,0.01,read-only,0.5,1,8,12,0.0654961,0.0467125,0.005103,9.56717
bloom,1000000,0.01,read-only,0.5,1,8,16,0.0492038,0.0429309,0.005103,9.56717
bloom,1000000,0.01,read-only,0.9,1,1,8,0.0489538,0.0374303,0.009094,9.56717
bloom,1000000,0.01,read-only,0.9,1,1,12,0.0500508,0.0382655,0.009094,9.56717
bloom,1000000,0.01,read-only,0.9,1,1,16,0.0483833,0.0375333,0.009094,9.56717
bloom,1000000,0.01,read-only,0.9,1,2,8,0.0485986,0.0379833,0.009094,9.56717
bloom,1000000,0.01,read-only,0.9,1,2,12,0.0485719,0.0368548,0.009094,9.56717
bloom,1000000,0.01,read-only,0.9,1,2,16,0.0477539,0.0376839,0.009094,9.56717
bloom,1000000,0.01,read-only,0.9,1,4,8,0.048771,0.0372624,0.009094,9.56717
bloom,1000000,0.01,read-only,0.9,1,4,12,0.0483134,0.0383264,0.009094,9.56717
bloom,1000000,0.01,read-only,0.9,1,4,16,0.0493469,0.0374079,0.009094,9.56717
bloom,1000000,0.01,read-only,0.9,1,8,8,0.0507416,0.0369614,0.009094,9.56717
bloom,1000000,0.01,read-only,0.9,1,8,12,0.0488612,0.0384681,0.009094,9.56717
bloom,1000000,0.01,read-only,0.9,1,8,16,0.0491713,0.0382279,0.009094,9.56717
xor,1000000,0.01,read-only,0,1,1,8,0.0013896,0.0218324,0,9.84
xor,1000000,0.01,read-only,0,1,1,12,0.0012989,0.0217668,0,9.84
xor,1000000,0.01,read-only,0,1,1,16,0.0013139,0.0219994,0,9.84
xor,1000000,0.01,read-only,0,1,2,8,0.0014352,0.0220463,0,9.84
xor,1000000,0.01,read-only,0,1,2,12,0.0014189,0.0242261,0,9.84
xor,1000000,0.01,read-only,0,1,2,16,0.0015226,0.0218928,0,9.84
xor,1000000,0.01,read-only,0,1,4,8,0.0014818,0.0222609,0,9.84
xor,1000000,0.01,read-only,0,1,4,12,0.0013889,0.0233001,0,9.84
xor,1000000,0.01,read-only,0,1,4,16,0.0015727,0.0224107,0,9.84
xor,1000000,0.01,read-only,0,1,8,8,0.0015016,0.0222286,0,9.84
xor,1000000,0.01,read-only,0,1,8,12,0.0015295,0.0216187,0,9.84
xor,1000000,0.01,read-only,0,1,8,16,0.0013876,0.0218529,0,9.84
xor,1000000,0.01,read-only,0.5,1,1,8,0.0013554,0.0248061,0.00196,9.84
xor,1000000,0.01,read-only,0.5,1,1,12,0.0015665,0.0253293,0.00196,9.84
xor,1000000,0.01,read-only,0.5,1,1,16,0.0014736,0.0244571,0.00196,9.84
xor,1000000,0.01,read-only,0.5,1,2,8,0.0014954,0.0246138,0.00196,9.84
xor,1000000,0.01,read-only,0.5,1,2,12,0.0016499,0.0244653,0.00196,9.84
xor,1000000,0.01,read-only,0.5,1,2,16,0.0014573,0.0245792,0.00196,9.84
xor,1000000,0.01,read-only,0.5,1,4,8,0.0014592,0.0244074,0.00196,9.84
xor,1000000,0.01,read-only,0.5,1,4,12,0.0014799,0.0235155,0.00196,9.84
xor,1000000,0.01,read-only,0.5,1,4,16,0.0014619,0.0239619,0.00196,9.84
xor,1000000,0.01,read-only,0.5,1,8,8,0.0013483,0.0239311,0.00196,9.84
xor,1000000,0.01,read-only,0.5,1,8,12,0.0015018,0.0241479,0.00196,9.84
xor,1000000,0.01,read-only,0.5,1,8,16,0.0013068,0.0233735,0.00196,9.84
xor,1000000,0.01,read-only,0.9,1,1,8,0.0013195,0.0223886,0.003482,9.84
xor,1000000,0.01,read-only,0.9,1,1,12,0.0013656,0.0224925,0.003482,9.84
xor,1000000,0.01,read-only,0.9,1,1,16,0.0013283,0.0222389,0.003482,9.84
xor,1000000,0.01,read-only,0.9,1,2,8,0.001541,0.0224961,0.003482,9.84
xor,1000000,0.01,read-only,0.9,1,2,12,0.0015255,0.0234475,0.003482,9.84
xor,1000000,0.01,read-only,0.9,1,2,16,0.0019105,0.0225985,0.003482,9.84
xor,1000000,0.01,read-only,0.9,1,4,8,0.0013007,0.022396,0.003482,9.84
xor,1000000,0.01,read-only,0.9,1,4,12,0.0013985,0.0230506,0.003482,9.84
xor,1000000,0.01,read-only,0.9,1,4,16,0.0014435,0.0234935,0.003482,9.84
xor,1000000,0.01,read-only,0.9,1,8,8,0.001875,0.0227079,0.003482,9.84
xor,1000000,0.01,read-only,0.9,1,8,12,0.0013451,0.0224564,0.003482,9.84
xor,1000000,0.01,read-only,0.9,1,8,16,0.0015098,0.0222069,0.003482,9.84
cuckoo,1000000,0.01,read-only,0,1,1,8,0.0310293,0.0316372,0,16
cuckoo,1000000,0.01,read-only,0,1,1,12,0.0596373,0.0343939,0,16
cuckoo,1000000,0.01,read-only,0,1,1,16,0.0340402,0.0342336,0,16
cuckoo,1000000,0.01,read-only,0,1,2,8,0.0322433,0.0391041,0,16
cuckoo,1000000,0.01,read-only,0,1,2,12,0.0322008,0.0315721,0,16
cuckoo,1000000,0.01,read-only,0,1,2,16,0.0316918,0.0310626,0,16
cuckoo,1000000,0.01,read-only,0,1,4,8,0.0316731,0.03109,0,16
cuckoo,1000000,0.01,read-only,0,1,4,12,0.0316696,0.0303135,0,16
cuckoo,1000000,0.01,read-only,0,1,4,16,0.0323629,0.030405,0,16
cuckoo,1000000,0.01,read-only,0,1,8,8,0.0311818,0.0301806,0,16
cuckoo,1000000,0.01,read-only,0,1,8,12,0.0309609,0.0302982,0,16
cuckoo,1000000,0.01,read-only,0,1,8,16,0.031079,0.0305596,0,16
cuckoo,1000000,0.01,read-only,0.5,1,1,8,0.0308886,0.0283541,0.009678,16
cuckoo,1000000,0.01,read-only,0.5,1,1,12,0.0555322,0.0326452,0.009676,16
cuckoo,1000000,0.01,read-only,0.5,1,1,16,0.0336508,0.0286757,0.009679,16
