time_elapsed_seconds,cache_references,caches_misses
0.317777948,63587080,2381737
0.336793,59201031,2851930
0.289017323,32437334,1778405
0.296694107,7008091,1545176
0.389211401,50832894,5216886
0.342253582,17653121,2344082
0.238669181,149063,31605
