time_elapsed_seconds,tlb_loads,tlb_load_misses
0.568820371,200374661,3667
0.598748932,200391161,8556
0.691434618,199997561,34463
0.738468064,200375103,61891
0.881346006,200363078,129127
2.427327504,200180094,100056688
2.844310352,200084621,100485366
